Model name: 1605995180.9348865reward-med-game-score-10k
Extra information: reward = reward*game_score
Timestamp: 2020-11-21 22:46:23.049156
Game Rounds Score Epsilon ClearedLines
68 18 7 0.9932000000000007 0
69 21 10 0.9931000000000008 0
70 17 6 0.9930000000000008 0
71 24 13 0.9929000000000008 0
72 23 12 0.9928000000000008 0
73 17 6 0.9927000000000008 0
74 18 7 0.9926000000000008 0
75 18 7 0.9925000000000008 0
76 19 8 0.9924000000000008 0
77 20 9 0.9923000000000008 0
78 21 10 0.9922000000000009 0
79 18 7 0.9921000000000009 0
80 19 8 0.9920000000000009 0
81 19 8 0.9919000000000009 0
82 20 9 0.9918000000000009 0
83 21 10 0.9917000000000009 0
84 23 12 0.9916000000000009 0
85 17 6 0.9915000000000009 0
86 16 5 0.991400000000001 0
87 21 10 0.991300000000001 0
88 23 12 0.991200000000001 0
89 21 10 0.991100000000001 0
90 18 7 0.991000000000001 0
91 20 9 0.990900000000001 0
92 21 10 0.990800000000001 0
93 18 7 0.990700000000001 0
94 15 4 0.990600000000001 0
95 21 10 0.990500000000001 0
96 21 10 0.9904000000000011 0
97 20 9 0.9903000000000011 0
98 19 8 0.9902000000000011 0
99 20 9 0.9901000000000011 0
100 16 5 0.9900000000000011 0
101 19 8 0.9899000000000011 0
102 21 10 0.9898000000000011 0
103 19 8 0.9897000000000011 0
104 17 6 0.9896000000000011 0
105 16 5 0.9895000000000012 0
106 16 5 0.9894000000000012 0
107 22 11 0.9893000000000012 0
108 18 7 0.9892000000000012 0
109 20 9 0.9891000000000012 0
110 21 10 0.9890000000000012 0
111 18 7 0.9889000000000012 0
112 20 9 0.9888000000000012 0
113 12 1 0.9887000000000012 0
114 16 5 0.9886000000000013 0
115 16 5 0.9885000000000013 0
116 20 9 0.9884000000000013 0
117 21 10 0.9883000000000013 0
118 17 6 0.9882000000000013 0
119 20 9 0.9881000000000013 0
120 22 11 0.9880000000000013 0
121 15 4 0.9879000000000013 0
122 18 7 0.9878000000000013 0
123 20 9 0.9877000000000014 0
124 18 7 0.9876000000000014 0
125 19 8 0.9875000000000014 0
126 25 14 0.9874000000000014 0
127 21 10 0.9873000000000014 0
128 20 9 0.9872000000000014 0
129 20 9 0.9871000000000014 0
130 20 9 0.9870000000000014 0
131 14 3 0.9869000000000014 0
132 17 6 0.9868000000000015 0
133 22 11 0.9867000000000015 0
134 17 6 0.9866000000000015 0
135 17 6 0.9865000000000015 0
136 17 6 0.9864000000000015 0
137 14 3 0.9863000000000015 0
138 16 5 0.9862000000000015 0
139 19 8 0.9861000000000015 0
140 16 5 0.9860000000000015 0
141 17 6 0.9859000000000016 0
142 15 4 0.9858000000000016 0
143 21 10 0.9857000000000016 0
144 11 0 0.9856000000000016 0
145 13 2 0.9855000000000016 0
146 15 4 0.9854000000000016 0
147 21 10 0.9853000000000016 0
148 23 12 0.9852000000000016 0
149 27 16 0.9851000000000016 0
150 17 6 0.9850000000000017 0
151 18 7 0.9849000000000017 0
152 15 4 0.9848000000000017 0
153 23 12 0.9847000000000017 0
154 20 9 0.9846000000000017 0
155 25 14 0.9845000000000017 0
156 21 10 0.9844000000000017 0
157 16 5 0.9843000000000017 0
158 23 12 0.9842000000000017 0
159 18 7 0.9841000000000018 0
160 22 11 0.9840000000000018 0
161 19 8 0.9839000000000018 0
162 16 5 0.9838000000000018 0
163 18 7 0.9837000000000018 0
164 16 5 0.9836000000000018 0
165 19 8 0.9835000000000018 0
166 23 12 0.9834000000000018 0
167 16 5 0.9833000000000018 0
168 24 13 0.9832000000000019 0
169 20 9 0.9831000000000019 0
170 22 11 0.9830000000000019 0
171 17 6 0.9829000000000019 0
172 18 7 0.9828000000000019 0
173 20 9 0.9827000000000019 0
174 22 11 0.9826000000000019 0
175 24 13 0.9825000000000019 0
176 25 14 0.9824000000000019 0
177 16 5 0.982300000000002 0
178 21 10 0.982200000000002 0
179 20 9 0.982100000000002 0
180 20 9 0.982000000000002 0
181 13 2 0.981900000000002 0
182 22 11 0.981800000000002 0
183 19 8 0.981700000000002 0
184 19 8 0.981600000000002 0
185 24 13 0.981500000000002 0
186 17 6 0.981400000000002 0
187 19 8 0.9813000000000021 0
188 20 9 0.9812000000000021 0
189 19 8 0.9811000000000021 0
190 14 3 0.9810000000000021 0
191 21 10 0.9809000000000021 0
192 26 15 0.9808000000000021 0
193 12 1 0.9807000000000021 0
194 17 6 0.9806000000000021 0
195 15 4 0.9805000000000021 0
196 20 9 0.9804000000000022 0
197 18 7 0.9803000000000022 0
198 20 9 0.9802000000000022 0
199 24 13 0.9801000000000022 0
200 26 15 0.9800000000000022 0
201 25 14 0.9799000000000022 0
202 24 13 0.9798000000000022 0
203 25 14 0.9797000000000022 0
204 12 1 0.9796000000000022 0
205 22 12 0.9795000000000023 1
206 16 5 0.9794000000000023 0
207 21 10 0.9793000000000023 0
208 21 11 0.9792000000000023 1
209 22 11 0.9791000000000023 0
210 15 4 0.9790000000000023 0
211 18 7 0.9789000000000023 0
212 11 0 0.9788000000000023 0
213 17 6 0.9787000000000023 0
214 17 6 0.9786000000000024 0
215 21 10 0.9785000000000024 0
216 20 9 0.9784000000000024 0
217 21 10 0.9783000000000024 0
218 19 8 0.9782000000000024 0
219 25 14 0.9781000000000024 0
220 15 4 0.9780000000000024 0
221 19 8 0.9779000000000024 0
222 26 15 0.9778000000000024 0
223 22 11 0.9777000000000025 0
224 18 7 0.9776000000000025 0
225 21 10 0.9775000000000025 0
226 15 4 0.9774000000000025 0
227 16 5 0.9773000000000025 0
228 21 10 0.9772000000000025 0
229 13 2 0.9771000000000025 0
230 17 6 0.9770000000000025 0
231 19 8 0.9769000000000025 0
232 18 7 0.9768000000000026 0
233 17 6 0.9767000000000026 0
234 18 8 0.9766000000000026 1
235 16 5 0.9765000000000026 0
236 21 10 0.9764000000000026 0
237 19 8 0.9763000000000026 0
238 20 9 0.9762000000000026 0
239 22 11 0.9761000000000026 0
240 17 6 0.9760000000000026 0
241 22 11 0.9759000000000027 0
242 20 9 0.9758000000000027 0
243 19 8 0.9757000000000027 0
244 15 4 0.9756000000000027 0
245 19 8 0.9755000000000027 0
246 19 8 0.9754000000000027 0
247 16 5 0.9753000000000027 0
248 21 10 0.9752000000000027 0
249 21 10 0.9751000000000027 0
250 19 8 0.9750000000000028 0
251 28 17 0.9749000000000028 0
252 21 10 0.9748000000000028 0
253 15 4 0.9747000000000028 0
254 21 10 0.9746000000000028 0
255 17 6 0.9745000000000028 0
256 22 11 0.9744000000000028 0
257 21 10 0.9743000000000028 0
258 21 10 0.9742000000000028 0
259 23 12 0.9741000000000029 0
260 22 11 0.9740000000000029 0
261 19 8 0.9739000000000029 0
262 21 10 0.9738000000000029 0
263 25 14 0.9737000000000029 0
264 19 8 0.9736000000000029 0
265 22 11 0.9735000000000029 0
266 17 6 0.9734000000000029 0
267 23 12 0.9733000000000029 0
268 16 5 0.973200000000003 0
269 15 4 0.973100000000003 0
270 19 8 0.973000000000003 0
271 17 6 0.972900000000003 0
272 19 8 0.972800000000003 0
273 14 3 0.972700000000003 0
274 23 12 0.972600000000003 0
275 18 7 0.972500000000003 0
276 25 14 0.972400000000003 0
277 21 10 0.972300000000003 0
278 20 9 0.9722000000000031 0
279 23 12 0.9721000000000031 0
280 18 7 0.9720000000000031 0
281 18 7 0.9719000000000031 0
282 13 2 0.9718000000000031 0
283 21 10 0.9717000000000031 0
284 18 7 0.9716000000000031 0
285 23 12 0.9715000000000031 0
286 18 7 0.9714000000000031 0
287 27 16 0.9713000000000032 0
288 25 14 0.9712000000000032 0
289 21 10 0.9711000000000032 0
290 26 15 0.9710000000000032 0
291 18 7 0.9709000000000032 0
292 21 10 0.9708000000000032 0
293 25 14 0.9707000000000032 0
294 18 7 0.9706000000000032 0
295 18 7 0.9705000000000032 0
296 17 6 0.9704000000000033 0
297 18 7 0.9703000000000033 0
298 17 6 0.9702000000000033 0
299 27 16 0.9701000000000033 0
300 20 9 0.9700000000000033 0
301 22 11 0.9699000000000033 0
302 18 7 0.9698000000000033 0
303 23 12 0.9697000000000033 0
304 19 8 0.9696000000000033 0
305 23 12 0.9695000000000034 0
306 15 4 0.9694000000000034 0
307 15 4 0.9693000000000034 0
308 22 11 0.9692000000000034 0
309 23 12 0.9691000000000034 0
310 19 8 0.9690000000000034 0
311 14 3 0.9689000000000034 0
312 19 8 0.9688000000000034 0
313 20 9 0.9687000000000034 0
314 20 9 0.9686000000000035 0
315 13 2 0.9685000000000035 0
316 18 7 0.9684000000000035 0
317 24 13 0.9683000000000035 0
318 19 8 0.9682000000000035 0
319 19 8 0.9681000000000035 0
320 20 9 0.9680000000000035 0
321 21 10 0.9679000000000035 0
322 22 11 0.9678000000000035 0
323 19 8 0.9677000000000036 0
324 16 5 0.9676000000000036 0
325 22 11 0.9675000000000036 0
326 22 11 0.9674000000000036 0
327 18 7 0.9673000000000036 0
328 19 8 0.9672000000000036 0
329 13 2 0.9671000000000036 0
330 24 13 0.9670000000000036 0
331 17 6 0.9669000000000036 0
332 22 11 0.9668000000000037 0
333 20 9 0.9667000000000037 0
334 16 5 0.9666000000000037 0
335 29 18 0.9665000000000037 0
336 15 4 0.9664000000000037 0
337 20 9 0.9663000000000037 0
338 18 7 0.9662000000000037 0
339 21 10 0.9661000000000037 0
340 21 10 0.9660000000000037 0
341 22 11 0.9659000000000038 0
342 16 5 0.9658000000000038 0
343 25 15 0.9657000000000038 1
344 18 7 0.9656000000000038 0
345 17 6 0.9655000000000038 0
346 15 4 0.9654000000000038 0
347 19 8 0.9653000000000038 0
348 18 7 0.9652000000000038 0
349 26 15 0.9651000000000038 0
350 15 4 0.9650000000000039 0
351 22 11 0.9649000000000039 0
352 17 6 0.9648000000000039 0
353 23 12 0.9647000000000039 0
354 25 14 0.9646000000000039 0
355 26 15 0.9645000000000039 0
356 19 8 0.9644000000000039 0
357 27 17 0.9643000000000039 1
358 24 13 0.9642000000000039 0
359 16 5 0.964100000000004 0
360 22 11 0.964000000000004 0
361 18 7 0.963900000000004 0
362 22 11 0.963800000000004 0
363 17 6 0.963700000000004 0
364 21 10 0.963600000000004 0
365 22 11 0.963500000000004 0
366 25 14 0.963400000000004 0
367 22 11 0.963300000000004 0
368 18 7 0.963200000000004 0
369 15 4 0.9631000000000041 0
370 24 13 0.9630000000000041 0
371 20 9 0.9629000000000041 0
372 24 13 0.9628000000000041 0
373 21 10 0.9627000000000041 0
374 18 7 0.9626000000000041 0
375 18 7 0.9625000000000041 0
376 23 12 0.9624000000000041 0
377 19 8 0.9623000000000042 0
378 13 2 0.9622000000000042 0
379 19 8 0.9621000000000042 0
380 17 6 0.9620000000000042 0
381 19 8 0.9619000000000042 0
382 16 5 0.9618000000000042 0
383 19 8 0.9617000000000042 0
384 15 4 0.9616000000000042 0
385 18 7 0.9615000000000042 0
386 18 7 0.9614000000000043 0
387 22 11 0.9613000000000043 0
388 21 10 0.9612000000000043 0
389 22 11 0.9611000000000043 0
390 19 8 0.9610000000000043 0
391 21 10 0.9609000000000043 0
392 26 15 0.9608000000000043 0
393 24 13 0.9607000000000043 0
394 19 8 0.9606000000000043 0
